bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1
OV211,OV,-3.71,0.79,-0.55,1.14,3.23
OV212,OV,-4.39,0.55,-2.16,2.22,1.99
OV213,OV,-3.75,-0.82,-1.29,1.86,2.76
OV214,OV,-5.39,1.57,-1.04,0.52,3.24
OV215,OV,-3.52,-1.7,-0.92,2.42,2.4
OV216,OV,-4.47,0.74,-1.08,3.22,2.42
OV217,OV,-2.92,-0.02,-1.71,-1.81,0.2
OV218,OV,-4.29,0.88,-1.81,1.27,0.31
OV219,OV,-4.35,0.42,-0.18,2.03,3.47
OV220,OV,-3.45,0.2,-1.08,1.85,2.51
OV221,OV,-3.5,-0.91,-2.31,1.12,2.26
OV222,OV,-3.86,0.42,-2.08,-3.05,1.92
OV223,OV,-3.41,1.37,-1.56,-0.06,2.54
OV224,OV,-4.55,0.35,-0.83,1.31,2.55
OV225,OV,-3.58,0.19,-1.45,-0.66,2.63
OV226,OV,-3.5,0.08,-1.33,1.18,2.21
OV227,OV,-4.68,-2.61,0.72,1.86,2.38
OV228,OV,-3.57,0.34,-1.8,2.47,3.16
OV229,OV,-3.87,0.55,-1.25,0.2,3.12
OV230,OV,-5.09,1.01,-0.19,1.31,3.85
OV231,OV,-4.69,1.21,-0.12,1.28,4.06
OV232,OV,-4.43,1.07,-0.72,2.3,3.22
OV233,OV,-4.95,0.73,-1.04,1.42,1.78
OV234,OV,-5.45,1.5,-1.13,2.36,1.86
OV235,OV,-4.14,1.05,-0.55,2.99,2.64
OV236,OV,-4.35,0.89,0.2,2.46,2.42
OV237,OV,-5.3,0.27,-1.01,1.31,1.79
OV238,OV,-4.53,1.2,-0.98,1.3,2.25
OV239,OV,-4.54,0.63,-2.35,-3.16,2.46
OV240,OV,-4.28,1.15,-1.35,1.57,3.04
OV241,OV,-5.12,1.19,-1.32,2.63,3.57
OV242,OV,-5.67,0.97,-0.74,1.92,2.13
OV243,OV,-4.95,0.48,-1.56,2.08,3.14
OV244,OV,-3.53,1.01,-1.26,2.07,3.02
OV245,OV,-3.85,1.48,-1.34,2.67,3.82
OV246,OV,-4.62,-0.17,-0.74,0.95,3.56
OV247,OV,-3.29,0.99,-0.38,2.32,2.85
OV248,OV,-2.79,0.36,-1.97,2.15,-0.38
OV249,OV,-4.2,0.12,-2.01,1.94,2.85
OV250,OV,-5.18,0.09,0.07,1.5,1.9
OV251,OV,-4.07,0.3,0.55,2.56,2.45
OV252,OV,-4.04,0.76,-0.96,2.53,3.67
OV253,OV,-4.84,0.48,-2.34,2.81,2.84
OV254,OV,-4.64,0.87,-2.33,1.63,1.62
OV255,OV,-4.88,0.04,-1.81,1.38,1.9
OV256,OV,-4.19,1.35,0.73,1.91,2.12
OV257,OV,-4.08,1.95,0.4,1.99,2.16
OV258,OV,-5.18,2.08,-0.28,3.36,1.52
OV259,OV,-4.46,1.06,-0.37,2.41,2.13
OV260,OV,-4.86,0.26,-0.82,-3.29,-0.28
OV261,OV,-4.19,1.01,-0.69,2.27,3.1
OV262,OV,-5.04,0.07,-1.6,2.27,1.46
OV263,OV,-3.64,1.33,-0.61,2.3,-0.2
OV264,OV,-4.14,1.22,-1.93,2.13,2.39
OV265,OV,-4.47,0.77,-0.04,1.36,2.24
OV266,OV,-4.16,0.6,-0.75,2.01,2.32
OV267,OV,-3.32,1.28,-0.54,1.09,1.41
OV268,OV,-4.83,0.8,-2.4,0.83,2.63
OV269,OV,-3.31,1.56,-1.66,1.88,2.64
OV270,OV,-4.13,0.45,-0.42,1.91,2.15
OV271,OV,-3.63,1.01,-0.14,1.47,2.95
OV272,OV,-3.95,0.88,-2.48,2.32,3.13
OV273,OV,-5.25,-1.06,0.02,1.03,0.61
OV274,OV,-5.14,1.32,-0.92,2.12,2.14
OV275,OV,-5,1.09,-0.14,2.2,1.96
OV276,OV,-4.63,1.35,-3.03,1.37,1.8
OV277,OV,-4.71,1.81,-1.02,2.55,2.56
OV278,OV,-3.48,1.55,0.7,1.54,3.22
OV279,OV,-4.4,0.32,-0.21,3.23,2.38
OV280,OV,-5.24,0.44,-0.98,2.17,2.36
OV281,OV,-3.95,0.92,0.44,1.01,2.84
OV282,OV,-4.34,0.91,-2.17,1.57,2.5
OV283,OV,-4.6,0.21,1.32,0.98,3.56
OV284,OV,-3.78,1.38,-0.44,1.57,2.14
OV285,OV,-3.99,0.37,-0.95,1.51,1.18
OV286,OV,-4.25,0.69,-2.68,2.27,-0.14
OV287,OV,-4.49,0.7,-1.06,2.76,2.13
OV288,OV,-3.76,0.95,-0.05,4.03,1.97
OV289,OV,-4.55,0.07,-1.91,1.49,2.8
OV290,OV,-4.08,0.87,0.89,2.57,2.59
OV291,OV,-3.57,-0.62,-1.01,2.18,3.76
OV292,OV,-4.05,0.73,0.34,2.67,2.79
OV293,OV,-3.41,1.33,0.24,2.62,3.81
OV294,OV,-5.69,0.86,-0.68,0.69,3.05
OV295,OV,-4.99,-1.11,1.64,-3.51,0.9
OV296,OV,-5.08,1.32,0.11,2.41,3.98
OV297,OV,-5.18,0.47,-0.44,2.97,2.77
OV298,OV,-5.06,-0.03,-0.32,2.55,4.08
OV299,OV,-4.91,0.59,-0.14,-0.75,2.84
OV300,OV,-4.14,1.04,0.45,1.8,2.62
OV301,OV,-5.69,-1.94,-2.77,3.45,3.84
OV302,OV,-5.73,0.82,-1.05,2.51,0.64
OV303,OV,-4.23,1.21,-1.72,2.95,-0.44
OV304,OV,-5.01,-1.67,-1.13,1.89,2.65
OV305,OV,-4.36,0.55,-2.05,1.6,2.48
OV306,OV,-5.91,0.41,-2.1,1.29,3.39
OV307,OV,-4.44,0.48,-1.72,2.64,2.37
OV308,OV,-4.25,1.75,-1.56,2.88,2.51
OV309,OV,-3.79,-1.24,-0.24,-0.02,2.66
OV310,OV,-4.12,1.11,-0.18,2.68,3.03
OV311,OV,-4.57,1.65,-0.51,2,3.21
OV312,OV,-4.46,0.16,-0.54,0.6,2.92
OV313,OV,-3.5,0.21,0.54,2.22,2.81
OV314,OV,-4.52,1.27,0.02,2.17,3.15
OV315,OV,-4.74,0.65,-0.39,2.47,2.48
OV316,OV,-4.44,0.4,0.28,2.25,2.75
OV317,OV,-4.39,1.15,-0.15,1.32,2.7
OV318,OV,-4.1,0.48,-0.62,1.82,2.84
OV319,OV,-4.58,-1.42,-0.37,1.71,3.78
OV320,OV,-4.24,0.51,-0.28,1.62,2.93
OV321,OV,-5.84,0.29,-0.73,1.73,1.08
OV322,OV,-4.6,0.87,0.35,2.3,2.72
OV323,OV,-3.79,1.77,-1.31,1.71,1.86
OV324,OV,-4.55,0.7,-1.17,0.77,1.72
OV325,OV,-0.94,0.97,-1.34,-5.03,0.01
OV326,OV,-4.63,1.67,0.33,2.8,1.77
OV327,OV,-4.33,1.49,-0.13,1.98,3.57
OV328,OV,-5.25,0.76,0.39,3.5,4.07
OV329,OV,-4.48,0.74,-0.9,1.48,3.51
OV330,OV,-5.77,0.72,-0.22,2.38,1.73
OV331,OV,-4.26,1.27,-0.05,1.65,3.4
OV332,OV,-4.71,1.88,0.34,2.13,2.29
OV333,OV,-2.99,0.15,-1.71,2.35,-0.02
OV334,OV,-3.93,0.92,-1.13,2.58,2.74
OV335,OV,-3.94,0.97,0.84,0.64,3.41
OV336,OV,-4.86,1.42,-1.17,1.81,2.71
OV337,OV,-5.48,0.12,0.96,1,3.21
OV338,OV,-3.68,1.32,-0.39,0.9,2.03
OV339,OV,-4.17,1.92,0.05,1.45,3.19
OV340,OV,-3.68,1.65,-0.65,1.28,1.87
OV341,OV,-3.82,1.2,0.94,2.15,0.93
OV342,OV,-4.34,0.96,-1.21,1,1.55
OV343,OV,-4.81,1.21,-0.5,1.84,3.02
OV344,OV,-4.51,0.92,0.41,1.62,2.7
OV345,OV,-4.67,0.19,-0.18,0.6,2.25
OV346,OV,-4.21,1.26,-1.93,1.37,2.3
OV347,OV,-4.26,1.87,-0.95,1.95,1
OV348,OV,-3.44,1.65,-1.29,3.27,2.82
OV349,OV,-3.99,1,-0.78,2.58,2.1
OV350,OV,-3.53,-0.3,-1.57,3.63,2.64
OV351,OV,-4.22,-0.29,-1.24,-3.37,-0.82
OV352,OV,-3.27,0.19,0.89,1.59,2.14
OV353,OV,-4.32,1.91,-0.44,0.22,2.58
OV354,OV,-4.6,0.77,-1,2.92,2.39
OV355,OV,-5.59,-1.46,-0.31,2.18,2.92
OV356,OV,-3.66,0.69,-0.07,2.26,-0.84
OV357,OV,-4.55,0.76,-1.54,0.13,-0.21
OV358,OV,-4.82,0.34,-0.42,2.9,2.83
OV359,OV,-5.17,1.73,-1.47,3.29,2.95
OV360,OV,-3.83,1.16,0.74,0.41,1.44
OV361,OV,-5.16,0.8,-0.92,2.2,3.15
OV362,OV,-4.19,1.48,-1.08,2.68,1.89
OV363,OV,-4.22,1.5,-0.53,2.32,3.27
OV364,OV,-4.72,1.27,-1.46,1.68,3.52
OV365,OV,-4.65,1.56,-2.05,1.84,2.4
OV366,OV,-3.93,0.92,-1.68,1.82,2.69
OV367,OV,-3.79,0.77,-0.01,0.67,2.4
OV368,OV,-4.68,1.26,-0.51,1.76,3.56
OV369,OV,-4.74,-0.18,-1.21,2.65,2.13
OV370,OV,-4.2,1.7,0.66,0.98,1.88
OV371,OV,-4.82,1.46,-0.62,-0.14,-1.92
OV372,OV,-4.1,1.11,0.23,0.97,3.6
OV373,OV,-4.71,1.4,-1.39,0.89,3.98
OV374,OV,-4.78,1.82,-0.24,2.72,2.36
OV375,OV,-3.94,-0.02,-0.6,1.1,3.24
OV376,OV,-3.17,-0.14,-2.57,0.63,3.87
OV377,OV,-3.97,0.26,-1.06,1.7,0.98
OV378,OV,-4.88,0.43,0.1,1.23,2.05
OV379,OV,-3.94,0.49,0.35,-0.35,2.66
OV380,OV,-4.85,-0.12,0.03,2.12,1.88
OV381,OV,-4.37,0.28,-0.98,2.3,2.65
OV382,OV,-3.95,0.3,0,1.4,2.91
OV383,OV,-3.74,0.77,-1.66,1.22,1.33
OV384,OV,-4.36,1.77,-1.34,1.8,1.18
OV385,OV,-4.61,0.28,-1.82,1.73,2.45
OV386,OV,-4,-0.04,-1.43,2.06,2.74
OV387,OV,-4.11,1.29,-0.09,1.55,3.68
OV388,OV,-3.95,1.13,-0.14,2.32,3.22
OV389,OV,-4.43,0.27,-0.35,1.56,2.71
OV390,OV,-4.54,-0.39,-1.33,2.94,1.45
OV391,OV,-5.05,1.19,0.45,-0.16,2.19
OV392,OV,-4.46,0.23,-0.71,1.64,2.6
OV393,OV,-4.34,0.4,-0.07,0.86,2.7
OV394,OV,-4.96,0.7,-0.17,1.96,2.21
OV395,OV,-3.96,1.59,0.3,1.6,1.89
OV396,OV,-3.75,-0.2,-1.55,0.82,2.8
OV397,OV,-4.29,0.74,-0.79,0.62,2.84
OV398,OV,-4.93,0.92,-0.68,1.57,3.78
OV399,OV,-4.91,0.88,0.14,1.77,2.78
OV400,OV,-4.98,0.28,-1.51,-2.13,-1.19
OV401,OV,-3.6,-0.67,-2.35,1.78,0.26
OV402,OV,-4.12,1.38,-0.85,1.52,1.62
OV403,OV,-3.94,1.04,-0.92,0.77,1.76
OV404,OV,-4.41,0.58,-0.12,2.51,1.73
OV405,OV,-3.66,0.14,0.9,0.76,-0.28
OV406,OV,-4.09,0.87,-0.94,1.55,2.42
OV407,OV,-3.59,0.42,0.62,0.99,1.85
OV408,OV,-4.47,-0.09,-0.22,1.72,2.5
OV409,OV,-5.03,1.48,-0.62,3.38,2.54
OV410,OV,-4.49,0.96,-0.6,3.08,2.56
OV411,OV,-4.73,0.82,-0.37,1.54,2.7
OV412,OV,-4.07,1.16,1.23,2.15,2.96
OV413,OV,-4.63,1.3,-0.36,-0.92,3.52
OV414,OV,-4.13,-0.31,0.05,-0.45,1.4
OV415,OV,-4.38,1.01,-2.51,2.43,1.17
OV416,OV,-3.93,0.51,-0.63,1.06,2.82
OV417,OV,-5.42,0.91,0.32,2.49,2.07
OV418,OV,-3.29,1.7,-2.05,0.8,2.49
OV419,OV,-4.8,-0.14,-0.33,1.74,3.25
OV420,OV,-4.02,0.74,0.51,0.8,1.98
OV421,OV,-3.68,0.93,-1.91,1.29,1.96
OV422,OV,-4.55,0.48,-1.46,1.45,3.36
OV423,OV,-4.18,-0.27,-0.16,0.61,2.17
OV424,OV,-3.03,0.48,-1.21,0.42,4.56
OV425,OV,-4.85,0.38,0.09,1.12,0.62
OV426,OV,-2.59,-1.34,-0.05,0.97,2.72
OV427,OV,-3.45,1.77,-0.92,1.9,2.82
OV428,OV,-3.54,0.75,-0.82,3.57,2.82
OV429,OV,-4.45,0.08,-1.09,1.58,1.67
OV430,OV,-4.09,0.5,-1.81,1.64,1.79
OV431,OV,-2.86,1.17,-2.22,2.28,2.19
OV432,OV,-3.57,0.11,-0.17,1.64,2.22
OV433,OV,-3.69,1.84,-1.04,1.28,2.13
OV434,OV,-4.1,1.03,-1.96,1.59,1.47
OV435,OV,-4.52,-0.13,-0.61,0.66,2.07
OV436,OV,-4.34,0.16,0.04,1.68,3.4
OV437,OV,-4.71,0.41,-0.45,4.34,2.52
OV438,OV,-4.3,-0.89,-0.3,2.7,2.62
OV439,OV,-3.89,0.64,-0.79,1.72,2.96
OV440,OV,-4.45,1.74,-0.38,2.23,0.73
OV441,OV,-3.37,1.29,0.44,0.98,2.83
OV442,OV,-3.7,0.34,-0.59,0.92,2
OV443,OV,-4.29,1.56,-0.15,2.66,2.36
OV444,OV,-4.27,1.37,-0.7,0.48,2.27
OV445,OV,-5.07,-1.38,-0.86,1.04,2.36
OV446,OV,-4.5,1.01,0.59,1.39,0.92
OV447,OV,-4.42,0.26,-0.61,1.56,2.17
OV448,OV,-5.1,0.97,-2.44,3.21,-0.18
OV449,OV,-3.93,0.84,0.24,-0.19,1.41
OV450,OV,-4.84,0.11,-1.73,1.55,1.19
OV451,OV,-4.49,0.83,-0.53,3.03,3.21
OV452,OV,-4.12,1.27,-0.78,1.4,1.04
OV453,OV,-4.27,0.67,0.84,0.32,3.37
OV454,OV,-3.99,1.92,-0.7,1.37,3.5
OV455,OV,-4.46,1.16,-2.5,2.14,1.58
OV456,OV,-4.01,0.33,-2.4,2.42,2.65
OV457,OV,-4.13,0.37,0.44,1.74,2.53
OV458,OV,-4.25,0.83,-0.33,3.29,2.52
OV459,OV,-4.42,0.57,-0.18,1.03,2.32
OV460,OV,-5.12,1.23,-1.3,0.27,1.6
OV461,OV,-3.89,0.28,-0.9,0.6,2.47
OV462,OV,-3.95,1.25,-2.01,1.25,2.6
OV463,OV,-4.14,0.5,-0.84,2.17,3.13
OV464,OV,-4.5,1.13,-0.17,2.15,3.46
OV465,OV,-4.75,0.11,-1.85,0.87,0.72
OV466,OV,-3.49,0.4,0,1.03,1.43
OV467,OV,-4.73,0.33,-0.4,2.46,2.49
OV468,OV,-3.98,1.27,-0.72,1.98,3.06
OV469,OV,-4.27,1.37,-0.86,2.16,1.94
OV470,OV,-3.72,-0.5,-1.94,2.01,3.16
OV471,OV,-4.46,0.61,-1.94,0,0.98
OV472,OV,-4.66,0.31,-1.36,0.88,2.55
OV473,OV,-3.18,1.23,-1.07,2.07,1.34
OV474,OV,-3.94,1.4,-1.59,0.84,2.29
OV475,OV,-3.76,0.18,-0.27,0.84,2.68
OV476,OV,-4.12,0.61,-0.84,1.14,2.81
OV477,OV,-5.25,0.2,-0.96,0.54,1.37
OV478,OV,-3.29,0.68,-0.34,2.72,3.12
OV479,OV,-3.39,0.32,-0.66,0.35,1.9
OV480,OV,-4.92,0.96,-2.23,2.72,1.3
OV481,OV,-4.88,1.68,0,2.18,3.15
OV482,OV,-4.05,1.34,0.14,1.68,2.73
OV483,OV,-2.78,0.21,-0.52,1.6,2.85
OV484,OV,-5.12,-0.17,0.32,1.53,0.46
OV485,OV,-2.89,0.84,-1.56,1.92,2.72
OV486,OV,-4.09,-0.02,-0.76,3.18,2.38
OV487,OV,-4.45,2.73,-0.25,1.66,-0.3
OV488,OV,1.4,0.04,-0.47,-4.23,1.84
OV489,OV,-4.99,1.03,-1.64,1.12,3.4
OV490,OV,-4.78,1.79,0.69,1.5,2.61
OV491,OV,-5.5,1.7,0.06,3.7,2.56
OV492,OV,-3.81,1.27,-0.19,2.56,2.4
OV493,OV,-3.9,1.26,-0.79,1.85,2.5
OV494,OV,-5.76,1.53,-0.79,1.62,0.95
OV495,OV,-5.68,0.44,-1.3,1.31,0.53
OV496,OV,-4.69,1.08,-1.35,0.02,-1
OV497,OV,-3.99,0.74,0.26,2.11,1.14
OV498,OV,-4.22,1.68,0.72,1.94,3.65
OV499,OV,-4.11,0.44,-2.09,0.64,2.26
OV500,OV,-3.26,-0.07,0.29,2.6,2.87
OV501,OV,-3.98,0,-0.69,2.03,2.15
OV502,OV,-3.76,1.35,-2.11,1.69,-0.69
OV503,OV,-4.87,0.64,-2.39,1.06,2.21
OV504,OV,-5.2,-1.4,-0.4,1.58,2.67
OV505,OV,-4.48,1.29,-0.89,1.26,3.52
OV506,OV,-4.37,0.04,-0.27,0.3,1.7
OV507,OV,-4.43,1.04,-0.68,1.32,2.22
OV508,OV,-4.04,0.95,-0.6,1.55,3.2
OV509,OV,-4.51,0.23,-1.21,2.8,2.23
OV510,OV,-5.04,-0.12,-0.3,2.12,3.06
OV511,OV,-4.09,-0.57,-0.34,0.19,1.2
OV512,OV,-4.5,1.58,0.19,2.37,3.18
OV513,OV,-5.54,0.13,-1.31,1.1,1.95
OV514,OV,-4.39,0.57,-0.55,1.29,3.04
OV515,OV,-4.3,1.08,0.8,1.04,3.03
OV516,OV,-3.5,0.96,0.38,1.34,2.69
OV517,OV,-3.55,1.26,-1.28,0.81,0.77
OV518,OV,-3.83,0.58,-1.8,1.69,2.67
OV519,OV,-4.11,0.51,-1.74,2.22,1.74
OV520,OV,-2.1,0.58,1.68,2.61,3.4
OV521,OV,-4,0.34,-1.36,1.78,0.15
OV522,OV,-4.35,0.86,0.4,1.69,1.79
OV523,OV,-4.32,1.36,-1.46,2.61,1.34
OV524,OV,-4.5,0.75,-1.95,1.77,2.7
OV525,OV,-4.18,0.66,-1.85,3.13,2.75
OV526,OV,-3.84,-0.22,-0.8,1.4,1.24
OV527,OV,-4.28,0.4,-1.06,1.86,2.76
OV528,OV,-3.72,1.2,-0.07,0.93,2.59
OV529,OV,-3.33,1.36,-2.37,2.16,2.38
OV530,OV,-5.25,0.78,-1.95,0.98,2.4
OV531,OV,-4.13,0.38,0.16,1.93,2.17
OV532,OV,-4.05,1.09,-1.43,1.29,3.67
OV533,OV,-4.57,1.67,-1.08,-0.3,2.92
OV534,OV,-5.71,1.35,-1.13,0.68,3.19
OV535,OV,-4.55,0.57,-0.1,2.53,3.15
OV536,OV,-4.21,0.6,0.72,-1.58,2.61
OV537,OV,-4.34,-0.08,0.42,2.34,3.77
OV538,OV,-4.47,1.41,-1.3,2.61,2.79
OV539,OV,-5.19,0.55,-0.5,1.86,2.21
OV540,OV,-4,0.34,-1.81,1.33,1.43
OV541,OV,-4.69,0.93,-2.46,0.96,3.88
OV542,OV,-3.33,-0.13,-2.11,2.88,-0.1
OV543,OV,-5.43,1.39,-0.83,1.66,3.33
OV544,OV,-3.39,-1.09,1.3,1.77,2.76
OV545,OV,-4.4,0.74,-0.6,1.8,2.2
OV546,OV,-3.49,0.91,-0.79,0.85,1.27
OV547,OV,-4.36,1.46,-1.24,1.87,2.47
OV548,OV,-4.89,0.42,0.26,1.36,2.92
OV549,OV,-5.37,0.66,-0.78,0.69,1.94
OV550,OV,-4.58,2.53,1.72,1.23,3.85
OV551,OV,-2.61,0.7,-1.22,-3.93,-3.32
OV552,OV,-5.21,1.11,-0.62,1.98,2.75
OV553,OV,-4.38,1.06,-1.68,2.21,3.16
OV554,OV,-5.15,1.34,-2.62,2.12,2.8
OV555,OV,-5.02,0.72,-0.15,3.54,2.67
OV556,OV,-3.89,0.23,-0.15,1.12,2.15
OV557,OV,-1.59,-1.09,-2.26,2.43,1.68
OV558,OV,-4.31,1.37,-1.04,-0.87,2.4
OV559,OV,-3.53,0.75,-1.26,-2.31,1.19
OV560,OV,-3.85,1.51,-1.11,1.47,2.26
OV561,OV,-3.96,0.7,-0.48,-0.6,2
LUSC1,LUSC,-3.66,-0.25,0.88,-0.81,0.85
LUSC2,LUSC,-4.77,0.09,0.53,-3.01,1.17
LUSC3,LUSC,-4.48,0.57,-0.02,-4.14,0.66
LUSC4,LUSC,-0.55,1.06,-0.72,-3.04,0.03
LUSC5,LUSC,-2.25,0.08,-0.61,-2.99,-1.04
LUSC6,LUSC,-4.28,0.26,-0.38,-3.71,-0.06
LUSC7,LUSC,-4.53,0.28,-0.47,-2.82,-0.69
LUSC8,LUSC,-2.23,-0.14,-1,-2.83,2.04
LUSC9,LUSC,-4.39,-1.08,0.17,-4.23,0
LUSC10,LUSC,-4.18,0.72,0.02,-3.12,-1.48
LUSC11,LUSC,-3.42,0.54,-1.14,-1.73,1.01
LUSC12,LUSC,-4.47,0.86,0.87,-4.1,-0.92
LUSC13,LUSC,-4.17,-0.07,-1.02,-4.3,0.6
LUSC14,LUSC,-3.27,-0.35,-0.78,-3.33,-0.47
LUSC15,LUSC,-4.02,0.21,-0.55,-2.85,-0.48
LUSC16,LUSC,-3.36,0.93,0.5,-2.65,1.68
LUSC17,LUSC,-4.09,0.85,-0.59,-0.81,0.54
LUSC18,LUSC,-4.2,0.7,-0.62,-4.37,0.39
LUSC19,LUSC,-4.77,-1.94,-0.92,-4.78,1.24
LUSC20,LUSC,-3.82,0.88,-0.28,-2.49,0.73
LUSC21,LUSC,-4.38,0.58,0.23,-3.44,2.45
LUSC22,LUSC,1.2,0.96,-1.25,-5.2,0.44
LUSC23,LUSC,-3.85,0.74,-0.68,-1.31,-1.41
LUSC24,LUSC,-4.6,0.49,-1.99,-3.89,0.27
LUSC25,LUSC,-3.71,-0.9,-1.29,-3.32,1.2
LUSC26,LUSC,-1.57,-0.48,0.99,-3.05,-0.61
LUSC27,LUSC,-2.34,0.25,-0.48,-2.5,-1.11
LUSC28,LUSC,-2.17,0.32,-0.34,-0.13,0.87
LUSC29,LUSC,-4.84,0.32,-0.51,-4.25,0.09
LUSC30,LUSC,-3.54,0.36,0.8,-1.55,2.05
LUSC31,LUSC,-1.78,1.18,-0.39,-2.8,2.35
LUSC32,LUSC,-3.01,-0.08,1.87,-1.83,1.99
LUSC33,LUSC,-3.77,-0.99,2.19,-2.46,1.92
LUSC34,LUSC,-3.66,0.31,-1.05,-3.58,0.21
LUSC35,LUSC,-3.08,0.75,-0.27,-2.54,2.92
LUSC36,LUSC,-4.39,-0.16,0.39,-0.79,2.47
LUSC37,LUSC,-3.96,1.03,0.3,-2.76,0.71
LUSC38,LUSC,-3.9,0.24,1.84,-2.66,1.68
LUSC39,LUSC,-2.68,-0.21,-0.27,-3.46,0.12
LUSC40,LUSC,-3.38,0.8,0.46,0.42,2.24
LUSC41,LUSC,-3.88,0.12,-0.03,-3.3,-0.42
LUSC42,LUSC,-4.16,0.1,-0.29,-3.73,1.72
LUSC43,LUSC,-3.88,0.65,-0.47,-2.86,-1.59
LUSC44,LUSC,-2.97,1.09,-0.25,-3.23,-0.18
LUSC45,LUSC,-4.44,-0.3,-0.34,-3.46,-0.4
LUSC46,LUSC,-4.9,0.51,-1.22,-4.84,0.96
LUSC47,LUSC,-3.9,-0.49,-1.04,-3.81,-0.25
LUSC48,LUSC,-3.58,-0.25,-0.47,-3.37,0.26
LUSC49,LUSC,-2.6,0.94,-0.45,-1.47,0.81
LUSC50,LUSC,-3.12,0.66,-1.3,-1.45,1.74
LUSC51,LUSC,-4.87,-0.43,-1.66,-4.05,-0.83
LUSC52,LUSC,-3.83,-0.22,-0.59,-3.06,-0.2
LUSC53,LUSC,-3.88,-0.63,-1.29,-3.37,-1.22
LUSC54,LUSC,-1.86,0.52,-1.45,-3.8,-0.13
LUSC55,LUSC,-4.58,0.87,-0.8,-2.88,2.5
LUSC56,LUSC,-4.39,0.03,-0.03,-3.54,0.44
LUSC57,LUSC,-2.8,0.84,0.55,-2.16,1.24
LUSC58,LUSC,-3.44,0.9,-0.11,-2.78,2.35
LUSC59,LUSC,-4.26,-0.22,-0.6,-3.79,-1.55
LUSC60,LUSC,-4.41,0.53,-0.76,-3.24,0.41
LUSC61,LUSC,-3.81,0.41,-0.92,-1.45,0.33
LUSC62,LUSC,-3.56,0.82,-0.61,-3.56,-0.41
LUSC63,LUSC,-3.78,0.79,-1.14,-2.74,-0.43
LUSC64,LUSC,-4.41,0.46,-1.04,-4.46,-1.32
LUSC65,LUSC,-3.58,-0.25,0.1,-2.83,-1.81
LUSC66,LUSC,-4.16,0.28,-0.37,-3.57,-1.43
LUSC67,LUSC,-4.08,0.1,0.38,-3.7,1.21
LUSC68,LUSC,-4.05,-0.49,-1.05,-3.17,0.12
LUSC69,LUSC,-4.33,0.69,-0.74,-3.03,0.23
LUSC70,LUSC,-3.5,-1.09,-0.67,-2.73,1.58
LUSC71,LUSC,-4.37,-0.13,-1.06,-3.58,-1.04
LUSC72,LUSC,-4.19,0.14,0.14,-3.53,-0.26
LUSC73,LUSC,-3.34,0.41,-0.64,-3.08,0.63
LUSC74,LUSC,-3.08,-0.14,1.85,-0.88,0.07
LUSC75,LUSC,-4.38,0.28,1.7,-2.92,3.24
LUSC76,LUSC,-3.7,0.24,-0.53,-3.56,0.17
LUSC77,LUSC,-4.37,-0.43,-1.12,-3.96,1.05
LUSC78,LUSC,-4.5,-1.51,-1.46,-3.86,0.8
LUSC79,LUSC,-2.06,0,0.78,-1.88,2.17
LUSC80,LUSC,-3.81,0.14,-0.8,-3.45,1.63
LUSC81,LUSC,-3.54,0.65,0.92,-0.34,1.65
LUSC82,LUSC,-4.82,-0.4,-0.88,-3.91,0.27
LUSC83,LUSC,-3.8,-0.24,0.1,-2,0.01
LUSC84,LUSC,-4.26,-0.39,0.25,-4.03,0.97
LUSC85,LUSC,-3.25,1.47,1.24,-2.22,1.93
LUSC86,LUSC,-2.75,1.04,0.44,-2.64,1.24
LUSC87,LUSC,-4.94,0.32,-1.29,-4.8,-0.38
LUSC88,LUSC,-3.49,0.9,-0.4,-3.12,0.21
LUSC89,LUSC,-4.48,0.04,-0.52,-3.34,1.5
LUSC90,LUSC,-4.23,-0.61,-1.81,-4.48,-1.34
LUSC91,LUSC,-4.76,0.28,-1.55,-3.66,-0.53
LUSC92,LUSC,-4.8,-1.29,1.13,-4.84,1.23
LUSC93,LUSC,-4.18,0.18,-0.22,-1.22,2.14
LUSC94,LUSC,-3.96,0.77,-0.44,-3.02,1.54
LUSC95,LUSC,-4.46,0.18,-0.41,-2.67,1.23
LUSC96,LUSC,-4.27,-1.18,0.99,-2.08,1.86
LUSC97,LUSC,-3.41,0.97,-0.16,-2.17,2.23
LUSC98,LUSC,-4.12,-0.06,-0.8,-3.72,-1.3
LUSC99,LUSC,-4.66,-0.46,-0.6,-2.97,1.49
LUSC100,LUSC,-3.88,0.27,-0.66,-4.25,-0.79
LUSC101,LUSC,-3.4,1.36,1.09,-2.49,1.86
LUSC102,LUSC,-4.01,-0.05,-0.57,-3.18,-1.08
LUSC103,LUSC,-4.48,0.39,0.63,-2.68,2.6
LUSC104,LUSC,-3.09,0.95,-0.47,-2.67,1.86
LUSC105,LUSC,-4.72,0.77,-2.29,-2.9,0.53
LUSC106,LUSC,-4.76,-0.04,-0.08,-3.76,0.51
LUSC107,LUSC,-2.94,0.83,-0.61,-2.23,1.08
LUSC108,LUSC,-3.67,0.71,0,-3.06,-1.09
LUSC109,LUSC,-4.68,0.36,-0.5,-4.32,-1.13
LUSC110,LUSC,-3.95,1.35,0.2,-2.66,1.25
LUSC111,LUSC,-4.32,1.25,-0.96,-2.7,-0.64
